alcohol_smiles,sulfonyl_fluoride_smiles,base_smiles,product_smiles,product_yield
O[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,Clc1ccc(S(=O)(=O)F)cc1,N\2=C1\N(CCCCC1)CCC/2,F[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,1
O[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,Clc1ccc(S(=O)(=O)F)cc1,CN1CCCN2C1=NCCC2,F[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,1
O[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,Clc1ccc(S(=O)(=O)F)cc1,CC(C)(C)N=C(N(C)C)N(C)C,F[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,1
O[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,Clc1ccc(S(=O)(=O)F)cc1,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,F[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,3
O[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,O=S(C1=CC=CC=N1)(F)=O,N\2=C1\N(CCCCC1)CCC/2,F[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,1
O[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,O=S(C1=CC=CC=N1)(F)=O,CN1CCCN2C1=NCCC2,F[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,2
O[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,O=S(C1=CC=CC=N1)(F)=O,CC(C)(C)N=C(N(C)C)N(C)C,F[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,1
O[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,O=S(C1=CC=CC=N1)(F)=O,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,F[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,1
O[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N\2=C1\N(CCCCC1)CCC/2,F[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,3
O[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,CN1CCCN2C1=NCCC2,F[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,4
O[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,CC(C)(C)N=C(N(C)C)N(C)C,F[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,5
